"x","y","z"
827.507257437689,336.960461448859,-730.150858502438
669.232926896548,367.173740907623,-745.222088170948
617.87754186697,593.088815224717,-899.411695080636
831.392313813636,314.672923289931,-813.511360390634
682.911339792052,387.085947919164,-550.918228435508
464.970847761169,494.234911729127,-537.640866794298
572.793076827994,249.33720600941,-679.888423481842
730.600416507123,411.418591149458,-633.918628244116
584.218172432983,466.186991758014,-579.27829762119
720.626964165188,423.791433396378,-547.402687235332
639.342941783177,498.074161429686,-875.404466556704
704.81133464168,387.79228177518,-769.61423530683
628.120268910746,207.845228398649,-617.516059434724
749.156564592534,508.413559950992,-571.889264121598
561.880325557208,391.978934288851,-631.655905318493
782.67847233093,600.069687671618,-703.079942807937
723.949111383905,287.046825197892,-752.363496737203
796.682699035182,519.571668270613,-793.680839621918
569.197806173715,318.191355933493,-787.378354567222
533.824020027174,616.200000175852,-710.377373495016
658.00055100436,480.00425694201,-891.282873815853
424.440534204858,421.898899758425,-618.389900326553
669.545715193933,543.821529601957,-846.683994500792
577.848611532179,314.158918656371,-633.298438745432
888.33888986659,577.769142822631,-822.228732105562
400.916782586966,278.762294635313,-799.312710985678
557.028887479651,323.116791943921,-621.054930458958
652.805098338553,322.032981169111,-715.352655042495
615.995101794215,410.51706865922,-922.811585445863
672.258110880431,279.656584240777,-641.066534513347
624.919895277832,211.313498003803,-623.925812234591
759.342524532845,373.169090027,-893.889619983103
344.013232194768,571.209347980752,-728.904998374627
710.069464966475,184.965829759432,-724.366332942146
658.13353445681,474.84845031217,-627.491386141469
549.256225076751,377.644888735109,-852.147611512322
597.166529574795,467.94834612116,-814.450791371336
559.969833809445,492.395969764001,-648.551481996203
588.762124891154,293.290315946836,-887.939559708994
662.482462180131,373.297380073999,-717.789609613843
514.112423418533,503.229090039346,-686.439889442316
347.198696838172,272.678871086628,-760.080601078495
578.300888162245,455.527951055863,-632.202485352628
701.260220558339,603.483164106964,-667.967338315885
716.038055427086,432.811567397887,-531.122045804538
706.908043034157,327.474597853402,-833.377598895097
530.885409497074,444.293351914205,-828.543195264021
662.111501888386,396.603080559488,-648.104750422641
460.423218539242,274.1315864702,-629.022196006841
691.564305503796,449.794051824633,-778.848627081276
596.826353625451,499.896469938816,-966.925952610699
589.133680394831,639.04329164068,-757.127645720435
646.505438458314,513.96968558164,-507.791660837611
700.292015486581,402.548224565822,-814.051743079442
605.03113954787,473.140047217864,-783.470363527466
450.205393336137,439.62207214627,-599.176466150849
552.025232285286,592.257374239894,-692.962997826374
518.39065502077,292.366021200775,-485.211516815327
706.823817731781,486.158987882929,-584.826840477191
847.839505665681,344.024970829015,-670.172545223883
668.636185946197,271.778503790469,-727.078460310897
582.7713578185,327.073058749967,-818.580614443908
723.406651921354,312.125678501755,-969.871520172916
660.011182071749,402.624880660273,-565.567857543713
638.231137523099,199.066191303058,-790.424619462873
424.411905207561,421.229192261305,-643.570240178155
699.568512617087,356.360051759233,-847.494564698353
645.657612254193,582.231541233267,-827.781153566863
536.97701900379,401.910729032639,-905.57116045997
521.473825462168,419.439688293864,-650.020558656716
773.260845395417,268.569675240527,-690.761196838419
486.759002078936,477.81495506805,-538.020477818128
453.253411227738,616.695683830537,-896.17183084939
799.233140621922,419.161867041086,-710.689216494985
785.290589993073,211.787168898848,-679.297247246473
791.876278726845,588.048284544413,-827.405251154595
510.948048965333,248.358457431962,-591.318785631815
768.131699202281,410.297125129914,-742.945556815502
647.203839948661,267.651968984405,-734.653491559126
856.245866102129,629.956289133685,-838.191957871433
593.766400043722,349.860337118931,-953.619640835025
590.079846309779,574.87000101197,-718.124572089159
604.288193660633,474.163881267507,-587.353176483297
480.206554293948,509.361269448027,-607.993671367413
554.370920626493,417.544709212278,-791.348598861603
508.836956988417,398.218924993704,-687.689709428964
499.622941190664,514.676209742863,-580.975675190106
758.362844253757,454.043362118563,-710.111976972885
741.799191886424,500.16464126766,-864.016645160525
633.295686219192,311.239008751778,-766.351713480721
